approved	stem	ref	greek_idx	greek_span	nbla_idx	nbla_span	suggested_type	source	reason	confidence	repeat_count	phrase_key	existing_rule	duplicate_of	yaml_suggestion
	romanos-1-1	romanos 1:1	08-09	εἰς εὐαγγέλιον	12-15	el evangelio de Dios,	phrase-anchor	validation-failure	contiguous unused NBLA span + adjacent Greek window	0.82	1	εις ευαγγελιον => el evangelio de dios	no		"{""match"": {""greek"": [""εἰς"", ""εὐαγγέλιον""]}, ""action"": {""nbla"": [""el"", ""evangelio"", ""de"", ""Dios,""], ""type"": ""expanded"", ""consume"": 4}}"
yes	romanos-1-1	romanos 1:1	09-10	εὐαγγέλιον θεοῦ	12-15	el evangelio de Dios,	phrase-anchor	validation-failure	contiguous unused NBLA span + adjacent Greek window; alternate candidate	0.82	1	ευαγγελιον θεου => el evangelio de dios	no		"{""match"": {""greek"": [""εὐαγγέλιον"", ""θεοῦ""]}, ""action"": {""nbla"": [""el"", ""evangelio"", ""de"", ""Dios,""], ""type"": ""expanded"", ""consume"": 4}}"
	romanos-1-3	romanos 1:3	02-03	τοῦ υἱοῦ	04	acerca	merged-forward	validation-failure	contiguous unused NBLA span + adjacent Greek window	0.60	1	του υιου => acerca	no		"{""match"": {""greek"": [""τοῦ"", ""υἱοῦ""]}, ""action"": {""nbla"": [""acerca""], ""type"": ""merged-forward"", ""consume"": 1}}"
	romanos-1-3	romanos 1:3	01-03	περὶ τοῦ υἱοῦ	04	acerca	merged-forward	validation-failure	contiguous unused NBLA span + adjacent Greek window; alternate candidate	0.60	1	περι του υιου => acerca	no		"{""match"": {""greek"": [""περὶ"", ""τοῦ"", ""υἱοῦ""]}, ""action"": {""nbla"": [""acerca""], ""type"": ""merged-forward"", ""consume"": 1}}"
	romanos-1-3	romanos 1:3	02-03	τοῦ υἱοῦ	08-09	que nació	phrase-anchor	validation-failure	contiguous unused NBLA span + adjacent Greek window	0.60	1	του υιου => que nacio	no		"{""match"": {""greek"": [""τοῦ"", ""υἱοῦ""]}, ""action"": {""nbla"": [""que"", ""nació""], ""type"": ""expanded"", ""consume"": 2}}"
	romanos-1-3	romanos 1:3	03-04	υἱοῦ αὐτοῦ,	08-09	que nació	phrase-anchor	validation-failure	contiguous unused NBLA span + adjacent Greek window; alternate candidate	0.60	1	υιου αυτου => que nacio	no		"{""match"": {""greek"": [""υἱοῦ"", ""αὐτοῦ,""]}, ""action"": {""nbla"": [""que"", ""nació""], ""type"": ""expanded"", ""consume"": 2}}"
yes	romanos-1-3	romanos 1:3	10-11	κατὰ σάρκα,	17	carne,	merged-forward	validation-failure	contiguous unused NBLA span + adjacent Greek window; repeated candidate behavior x2	0.70	2	κατα σαρκα => carne	no		"{""match"": {""greek"": [""κατὰ"", ""σάρκα,""]}, ""action"": {""nbla"": [""carne,""], ""type"": ""merged-forward"", ""consume"": 1}}"
	romanos-1-3	romanos 1:3	09-11	Δαυὶδ κατὰ σάρκα,	17	carne,	merged-forward	validation-failure	contiguous unused NBLA span + adjacent Greek window; alternate candidate	0.60	1	δαυιδ κατα σαρκα => carne	no		"{""match"": {""greek"": [""Δαυὶδ"", ""κατὰ"", ""σάρκα,""]}, ""action"": {""nbla"": [""carne,""], ""type"": ""merged-forward"", ""consume"": 1}}"
	romanos-1-4	romanos 1:4	01-02	τοῦ ὁρισθέντος	01-05	y que fue declarado Hijo	phrase-anchor	validation-failure	contiguous unused NBLA span + adjacent Greek window	0.82	1	του ορισθεντος => y que fue declarado hijo	no		"{""match"": {""greek"": [""τοῦ"", ""ὁρισθέντος""]}, ""action"": {""nbla"": [""y"", ""que"", ""fue"", ""declarado"", ""Hijo""], ""type"": ""expanded"", ""consume"": 5}}"
	romanos-1-4	romanos 1:4	02-03	ὁρισθέντος υἱοῦ	01-05	y que fue declarado Hijo	phrase-anchor	validation-failure	contiguous unused NBLA span + adjacent Greek window; alternate candidate	0.82	1	ορισθεντος υιου => y que fue declarado hijo	no		"{""match"": {""greek"": [""ὁρισθέντος"", ""υἱοῦ""]}, ""action"": {""nbla"": [""y"", ""que"", ""fue"", ""declarado"", ""Hijo""], ""type"": ""expanded"", ""consume"": 5}}"
