stream_index	book	chapter	verse	g_idx	predication_id	finite_verb	finite_lemma	finite_morphgnt	finite_compact	nbla_idx	nbla_text	subject_status	subject_source	subject_token	subject_person	subject_number	independence_status	independence_source	subordination_status	subordination_source	subordination_markers	certainty_finite_verb	certainty_predication	certainty_independence
1	1corintios	1	4	01	1corintios-1-4-P01	εὐχαριστῶ	εὐχαριστέω	V- 1PAI-S--	V-PAI-1S	02-03	doy gracias	confirmed	finite_verb_morphology		1	S	candidate	subordination_marker_scan_only	not_detected		[]	confirmed	candidate	candidate
2	1corintios	1	5	04	1corintios-1-5-P01	ἐπλουτίσθητε	πλουτίζω	V- 2API-P--	V-API-2P	04-06	ustedes fueron enriquecidos	confirmed	finite_verb_morphology		2	P	unresolved	subordination_marker_scan_only	candidate	explicit_marker_after_previous_finite_before_current_finite	"[{""form"": ""ὅτι"", ""key"": ""οτι"", ""token"": ""01""}]"	confirmed	candidate	unresolved
3	1corintios	1	6	06	1corintios-1-6-P01	ἐβεβαιώθη	βεβαιόω	V- 3API-S--	V-API-3S	08-09	fue confirmado	candidate	nearest_agreeing_nominative_no_visible_boundary	03			unresolved	subordination_marker_scan_only	candidate	explicit_marker_after_previous_finite_before_current_finite	"[{""form"": ""καθὼς"", ""key"": ""καθως"", ""token"": ""01""}]"	confirmed	candidate	unresolved
4	1corintios	1	8	03	1corintios-1-8-P01	βεβαιώσει	βεβαιόω	V- 3FAI-S--	V-FAI-3S	04	confirmará	confirmed	finite_verb_morphology		3	S	candidate	subordination_marker_scan_only	not_detected		[]	confirmed	candidate	candidate
5	1corintios	1	9	06	1corintios-1-9-P01	ἐκλήθητε	καλέω	V- 2API-P--	V-API-2P	08-09	fueron llamados	confirmed	finite_verb_morphology		2	P	candidate	subordination_marker_scan_only	not_detected		[]	confirmed	candidate	candidate
6	1corintios	1	10	01	1corintios-1-10-P01	παρακαλῶ	παρακαλέω	V- 1PAI-S--	V-PAI-1S	01-02	les ruego	confirmed	finite_verb_morphology		1	S	candidate	subordination_marker_scan_only	not_detected		[]	confirmed	candidate	candidate
7	1corintios	1	10	16	1corintios-1-10-P02	λέγητε	λέγω	V- 2PAS-P--	V-PAS-2P	13-16	se pongan de acuerdo	confirmed	finite_verb_morphology		2	P	unresolved	subordination_marker_scan_only	candidate	explicit_marker_after_previous_finite_before_current_finite	"[{""form"": ""ἵνα"", ""key"": ""ινα"", ""token"": ""13""}]"	confirmed	candidate	unresolved
8	1corintios	1	10	20	1corintios-1-10-P03	ᾖ	εἰμί	V- 3PAS-S--	V-PAS-3S	20	haya	confirmed	finite_verb_morphology		3	S	candidate	subordination_marker_scan_only	not_detected		[]	confirmed	candidate	candidate
9	1corintios	1	10	24	1corintios-1-10-P04	ἦτε	εἰμί	V- 2PAS-P--	V-PAS-2P	26	estén	confirmed	finite_verb_morphology		2	P	candidate	subordination_marker_scan_only	not_detected		[]	confirmed	candidate	candidate
10	1corintios	1	11	01	1corintios-1-11-P01	ἐδηλώθη	δηλόω	V- 3API-S--	V-API-3S	02-04	he sido informado	confirmed	finite_verb_morphology		3	S	candidate	subordination_marker_scan_only	not_detected		[]	confirmed	candidate	candidate
11	1corintios	1	11	15	1corintios-1-11-P02	εἰσιν	εἰμί	V- 3PAI-P--	V-PAI-3P	15	hay	candidate	nearest_agreeing_nominative_no_visible_boundary	12			unresolved	subordination_marker_scan_only	candidate	explicit_marker_after_previous_finite_before_current_finite	"[{""form"": ""ὅτι"", ""key"": ""οτι"", ""token"": ""11""}]"	confirmed	candidate	unresolved
12	1corintios	1	12	01	1corintios-1-12-P01	λέγω	λέγω	V- 1PAI-S--	V-PAI-1S	01-02	me refiero	confirmed	finite_verb_morphology		1	S	candidate	subordination_marker_scan_only	not_detected		[]	confirmed	candidate	candidate
13	1corintios	1	12	07	1corintios-1-12-P02	λέγει	λέγω	V- 3PAI-S--	V-PAI-3S	09	dice	candidate	nearest_agreeing_nominative_no_visible_boundary	05			unresolved	subordination_marker_scan_only	candidate	explicit_marker_after_previous_finite_before_current_finite	"[{""form"": ""ὅτι"", ""key"": ""οτι"", ""token"": ""04""}]"	confirmed	candidate	unresolved
14	1corintios	1	12	10	1corintios-1-12-P03	εἰμι	εἰμί	V- 1PAI-S--	V-PAI-1S	11	soy	confirmed	finite_verb_morphology		1	S	candidate	subordination_marker_scan_only	not_detected		[]	confirmed	candidate	candidate
15	1corintios	1	13	01	1corintios-1-13-P01	μεμέρισται	μερίζω	V- 3XPI-S--	V-XPI-3S	01-02	está dividido	confirmed	finite_verb_morphology		3	S	candidate	subordination_marker_scan_only	not_detected		[]	confirmed	candidate	candidate
16	1corintios	1	13	06	1corintios-1-13-P02	ἐσταυρώθη	σταυρόω	V- 3API-S--	V-API-3S	05,07	fue crucificado	candidate	nearest_agreeing_nominative_no_visible_boundary	05			candidate	subordination_marker_scan_only	not_detected		[]	confirmed	candidate	candidate
17	1corintios	1	13	14	1corintios-1-13-P03	ἐβαπτίσθητε	βαπτίζω	V- 2API-P--	V-API-2P	11-12	fueron bautizados	confirmed	finite_verb_morphology		2	P	candidate	subordination_marker_scan_only	not_detected		[]	confirmed	candidate	candidate
