center_stream_index	center_reference	window_size	movement_sequence	continuity_sequence	reason_sequence
1	1:4	3	"[""strong"", ""strong"", ""strong""]"	"[""initial"", ""shift"", ""shift""]"	"[[""stream_start""], [""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""], [""number_change"", ""person_change"", ""subject_shift""]]"
2	1:5	4	"[""strong"", ""strong"", ""strong"", ""candidate""]"	"[""initial"", ""shift"", ""shift"", ""same""]"	"[[""stream_start""], [""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""], [""number_change"", ""person_change"", ""subject_shift""], [""independence_transition"", ""subordination_transition""]]"
3	1:6	5	"[""strong"", ""strong"", ""strong"", ""candidate"", ""strong""]"	"[""initial"", ""shift"", ""shift"", ""same"", ""shift""]"	"[[""stream_start""], [""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""], [""number_change"", ""person_change"", ""subject_shift""], [""independence_transition"", ""subordination_transition""], [""number_change"", ""person_change"", ""subject_shift""]]"
4	1:8	5	"[""strong"", ""strong"", ""candidate"", ""strong"", ""strong""]"	"[""shift"", ""shift"", ""same"", ""shift"", ""shift""]"	"[[""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""], [""number_change"", ""person_change"", ""subject_shift""], [""independence_transition"", ""subordination_transition""], [""number_change"", ""person_change"", ""subject_shift""], [""number_change"", ""person_change"", ""subject_shift""]]"
5	1:9	5	"[""strong"", ""candidate"", ""strong"", ""strong"", ""strong""]"	"[""shift"", ""same"", ""shift"", ""shift"", ""shift""]"	"[[""number_change"", ""person_change"", ""subject_shift""], [""independence_transition"", ""subordination_transition""], [""number_change"", ""person_change"", ""subject_shift""], [""number_change"", ""person_change"", ""subject_shift""], [""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""]]"
6	1:10	5	"[""candidate"", ""strong"", ""strong"", ""strong"", ""strong""]"	"[""same"", ""shift"", ""shift"", ""shift"", ""shift""]"	"[[""independence_transition"", ""subordination_transition""], [""number_change"", ""person_change"", ""subject_shift""], [""number_change"", ""person_change"", ""subject_shift""], [""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""], [""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""]]"
7	1:10	5	"[""strong"", ""strong"", ""strong"", ""strong"", ""strong""]"	"[""shift"", ""shift"", ""shift"", ""shift"", ""shift""]"	"[[""number_change"", ""person_change"", ""subject_shift""], [""number_change"", ""person_change"", ""subject_shift""], [""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""], [""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""], [""number_change"", ""person_change"", ""subject_shift""]]"
8	1:10	5	"[""strong"", ""strong"", ""strong"", ""strong"", ""strong""]"	"[""shift"", ""shift"", ""shift"", ""shift"", ""shift""]"	"[[""number_change"", ""person_change"", ""subject_shift""], [""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""], [""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""], [""number_change"", ""person_change"", ""subject_shift""], [""number_change"", ""person_change"", ""subject_shift""]]"
9	1:10	5	"[""strong"", ""strong"", ""strong"", ""strong"", ""strong""]"	"[""shift"", ""shift"", ""shift"", ""shift"", ""shift""]"	"[[""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""], [""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""], [""number_change"", ""person_change"", ""subject_shift""], [""number_change"", ""person_change"", ""subject_shift""], [""independence_transition"", ""number_change"", ""subject_shift"", ""subordination_transition""]]"
10	1:11	5	"[""strong"", ""strong"", ""strong"", ""strong"", ""strong""]"	"[""shift"", ""shift"", ""shift"", ""shift"", ""shift""]"	"[[""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""], [""number_change"", ""person_change"", ""subject_shift""], [""number_change"", ""person_change"", ""subject_shift""], [""independence_transition"", ""number_change"", ""subject_shift"", ""subordination_transition""], [""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""]]"
