REF	G_IDX	GREEK	LEMMA	RMAC	CURRENT_NBLA_IDX	CURRENT_NBLA_TEXT	CURRENT_ALIGNMENT	REASON	CANDIDATE_NBLA_IDX	CANDIDATE_NBLA_TEXT	SCORE	CONFIDENCE	NOTES	TSV_PATH
1corintios 3:13	19	ἐστιν	εἰμί	V-PAI-3S	-	-	missing	missing finite NBLA	09	porque	61	medium	contains verb-like Spanish token; currently owned by neighboring row G07 with verb-like text	MNA/data/alignments/1corintios/1corintios-3-13.tsv
1corintios 3:13	19	ἐστιν	εἰμί	V-PAI-3S	-	-	missing	missing finite NBLA	16	pues	61	medium	contains verb-like Spanish token; currently owned by neighboring row G10 with verb-like text	MNA/data/alignments/1corintios/1corintios-3-13.tsv
1corintios 3:13	19	ἐστιν	εἰμί	V-PAI-3S	-	-	missing	missing finite NBLA	18	fuego	61	medium	contains verb-like Spanish token; currently owned by neighboring row G12 with verb-like text	MNA/data/alignments/1corintios/1corintios-3-13.tsv
1corintios 3:13	19	ἐστιν	εἰμί	V-PAI-3S	-	-	missing	missing finite NBLA	22	fuego	61	medium	contains verb-like Spanish token; currently owned by neighboring row G21 with verb-like text	MNA/data/alignments/1corintios/1corintios-3-13.tsv
1corintios 3:13	19	ἐστιν	εἰμί	V-PAI-3S	-	-	missing	missing finite NBLA	23	mismo	61	medium	contains verb-like Spanish token; currently owned by neighboring row G22 with verb-like text	MNA/data/alignments/1corintios/1corintios-3-13.tsv
1corintios 5:2	04	ἐστέ	εἰμί	V-PAI-2P	-	-	missing	missing finite NBLA	04-05	han vuelto	91	high	contains verb-like Spanish token; auxiliary + verbal phrase candidate; currently owned by neighboring row G03 with verb-like text	MNA/data/alignments/1corintios/1corintios-5-2.tsv
1corintios 5:2	04	ἐστέ	εἰμί	V-PAI-2P	-	-	missing	missing finite NBLA	04-06	han vuelto arrogantes	91	high	contains verb-like Spanish token; auxiliary + verbal phrase candidate; currently owned by neighboring row G03 with verb-like text	MNA/data/alignments/1corintios/1corintios-5-2.tsv
1corintios 5:2	04	ἐστέ	εἰμί	V-PAI-2P	-	-	missing	missing finite NBLA	04-07	han vuelto arrogantes en	71	medium	contains verb-like Spanish token; auxiliary + verbal phrase candidate; currently owned by neighboring row G03 with verb-like text	MNA/data/alignments/1corintios/1corintios-5-2.tsv
1corintios 5:2	04	ἐστέ	εἰμί	V-PAI-2P	-	-	missing	missing finite NBLA	02	ustedes	61	medium	contains verb-like Spanish token; currently owned by neighboring row G02 with verb-like text	MNA/data/alignments/1corintios/1corintios-5-2.tsv
1corintios 5:2	04	ἐστέ	εἰμί	V-PAI-2P	-	-	missing	missing finite NBLA	04	han	61	medium	contains verb-like Spanish token; currently owned by neighboring row G03 with verb-like text	MNA/data/alignments/1corintios/1corintios-5-2.tsv
1corintios 7:13	05	ἔχει	ἔχω	V-PAI-3S	-	-	missing	missing finite NBLA	07-08	es creyente	91	high	contains verb-like Spanish token; auxiliary + verbal phrase candidate; currently owned by neighboring row G07 with verb-like text	MNA/data/alignments/1corintios/1corintios-7-13.tsv
1corintios 7:13	05	ἔχει	ἔχω	V-PAI-3S	-	-	missing	missing finite NBLA	07-09	es creyente y	91	high	contains verb-like Spanish token; auxiliary + verbal phrase candidate; currently owned by neighboring row G07 with verb-like text	MNA/data/alignments/1corintios/1corintios-7-13.tsv
1corintios 7:13	05	ἔχει	ἔχω	V-PAI-3S	-	-	missing	missing finite NBLA	07-10	es creyente y él	71	medium	contains verb-like Spanish token; auxiliary + verbal phrase candidate; currently owned by neighboring row G07 with verb-like text	MNA/data/alignments/1corintios/1corintios-7-13.tsv
1corintios 7:13	05	ἔχει	ἔχω	V-PAI-3S	-	-	missing	missing finite NBLA	04	cuyo	61	medium	contains verb-like Spanish token; currently owned by neighboring row G03 with verb-like text	MNA/data/alignments/1corintios/1corintios-7-13.tsv
1corintios 7:13	05	ἔχει	ἔχω	V-PAI-3S	-	-	missing	missing finite NBLA	05	marido	61	medium	contains verb-like Spanish token; currently owned by neighboring row G06 with verb-like text	MNA/data/alignments/1corintios/1corintios-7-13.tsv
1corintios 7:17	05	ἐμέρισεν	μερίζω	V-AAI-3S	07,08	el	expanded	suspicious finite NBLA surface	07-09	ha asignado a	107	high	contains verb-like Spanish token; auxiliary + verbal phrase candidate; near current corrupted NBLA index; currently owned by neighboring row G03 with verb-like text	MNA/data/alignments/1corintios/1corintios-7-17.tsv
1corintios 7:17	05	ἐμέρισεν	μερίζω	V-AAI-3S	07,08	el	expanded	suspicious finite NBLA surface	07-08	ha asignado	89	high	contains verb-like Spanish token; auxiliary + verbal phrase candidate; near current corrupted NBLA index	MNA/data/alignments/1corintios/1corintios-7-17.tsv
1corintios 7:17	05	ἐμέρισεν	μερίζω	V-AAI-3S	07,08	el	expanded	suspicious finite NBLA surface	07-10	ha asignado a cada	87	high	contains verb-like Spanish token; auxiliary + verbal phrase candidate; near current corrupted NBLA index; currently owned by neighboring row G03 with verb-like text	MNA/data/alignments/1corintios/1corintios-7-17.tsv
1corintios 7:17	05	ἐμέρισεν	μερίζω	V-AAI-3S	07,08	el	expanded	suspicious finite NBLA surface	03	esto	77	high	contains verb-like Spanish token; near current corrupted NBLA index; currently owned by neighboring row G01 with verb-like text	MNA/data/alignments/1corintios/1corintios-7-17.tsv
1corintios 7:17	05	ἐμέρισεν	μερίζω	V-AAI-3S	07,08	el	expanded	suspicious finite NBLA surface	01-03	fuera de esto	77	high	contains verb-like Spanish token; near current corrupted NBLA index; currently owned by neighboring row G01 with verb-like text	MNA/data/alignments/1corintios/1corintios-7-17.tsv
1corintios 7:17	14	περιπατείτω	περιπατέω	V-PAD-3S	19	a	direct	suspicious finite NBLA surface	21	ordeno	102	high	contains verb-like Spanish token; strong known verb word; near current corrupted NBLA index; currently owned by neighboring row G21 with verb-like text	MNA/data/alignments/1corintios/1corintios-7-17.tsv
1corintios 7:17	14	περιπατείτω	περιπατέω	V-PAD-3S	19	a	direct	suspicious finite NBLA surface	17-19	cual así ande	102	high	contains verb-like Spanish token; strong known verb word; near current corrupted NBLA index; currently owned by neighboring row G08 with verb-like text	MNA/data/alignments/1corintios/1corintios-7-17.tsv
1corintios 7:17	14	περιπατείτω	περιπατέω	V-PAD-3S	19	a	direct	suspicious finite NBLA surface	18-20	así ande esto	102	high	contains verb-like Spanish token; strong known verb word; near current corrupted NBLA index; currently owned by neighboring row G16 with verb-like text	MNA/data/alignments/1corintios/1corintios-7-17.tsv
1corintios 7:17	14	περιπατείτω	περιπατέω	V-PAD-3S	19	a	direct	suspicious finite NBLA surface	19-20	ande esto	102	high	contains verb-like Spanish token; strong known verb word; near current corrupted NBLA index; currently owned by neighboring row G16 with verb-like text	MNA/data/alignments/1corintios/1corintios-7-17.tsv
1corintios 7:17	14	περιπατείτω	περιπατέω	V-PAD-3S	19	a	direct	suspicious finite NBLA surface	19-21	ande esto ordeno	102	high	contains verb-like Spanish token; strong known verb word; near current corrupted NBLA index; currently owned by neighboring row G16 with verb-like text	MNA/data/alignments/1corintios/1corintios-7-17.tsv
1corintios 7:17	21	διατάσσομαι	διατάσσω	V-PMI-1S	21	iglesias	direct	suspicious finite NBLA surface	19	ande	102	high	contains verb-like Spanish token; strong known verb word; near current corrupted NBLA index; currently owned by neighboring row G14 with verb-like text	MNA/data/alignments/1corintios/1corintios-7-17.tsv
1corintios 7:17	21	διατάσσομαι	διατάσσω	V-PMI-1S	21	iglesias	direct	suspicious finite NBLA surface	17-19	cual así ande	102	high	contains verb-like Spanish token; strong known verb word; near current corrupted NBLA index; currently owned by neighboring row G08 with verb-like text	MNA/data/alignments/1corintios/1corintios-7-17.tsv
1corintios 7:17	21	διατάσσομαι	διατάσσω	V-PMI-1S	21	iglesias	direct	suspicious finite NBLA surface	18-19	así ande	102	high	contains verb-like Spanish token; strong known verb word; near current corrupted NBLA index; currently owned by neighboring row G14 with verb-like text	MNA/data/alignments/1corintios/1corintios-7-17.tsv
1corintios 7:17	21	διατάσσομαι	διατάσσω	V-PMI-1S	21	iglesias	direct	suspicious finite NBLA surface	18-20	así ande esto	102	high	contains verb-like Spanish token; strong known verb word; near current corrupted NBLA index; currently owned by neighboring row G14 with verb-like text	MNA/data/alignments/1corintios/1corintios-7-17.tsv
1corintios 7:17	21	διατάσσομαι	διατάσσω	V-PMI-1S	21	iglesias	direct	suspicious finite NBLA surface	19-20	ande esto	102	high	contains verb-like Spanish token; strong known verb word; near current corrupted NBLA index; currently owned by neighboring row G14 with verb-like text	MNA/data/alignments/1corintios/1corintios-7-17.tsv
1corintios 7:20	09	μενέτω	μένω	V-PAD-3S	-	-	missing	missing finite NBLA	03	permanezca	61	medium	contains verb-like Spanish token; currently owned by neighboring row G02 with verb-like text	MNA/data/alignments/1corintios/1corintios-7-20.tsv
1corintios 7:20	09	μενέτω	μένω	V-PAD-3S	-	-	missing	missing finite NBLA	09	fue	61	medium	contains verb-like Spanish token; currently owned by neighboring row G05 with verb-like text	MNA/data/alignments/1corintios/1corintios-7-20.tsv
1corintios 7:20	09	μενέτω	μένω	V-PAD-3S	-	-	missing	missing finite NBLA	01-02	cada uno	61	medium	contains verb-like Spanish token; currently owned by neighboring row G01 with verb-like text	MNA/data/alignments/1corintios/1corintios-7-20.tsv
1corintios 7:20	09	μενέτω	μένω	V-PAD-3S	-	-	missing	missing finite NBLA	01-03	cada uno permanezca	61	medium	contains verb-like Spanish token; currently owned by neighboring row G01 with verb-like text	MNA/data/alignments/1corintios/1corintios-7-20.tsv
