BOOK	CH	VS	CN_ID	G_IDX	GREEK	LEMMA	RMAC	DETECTED_CERTAINTY	CONNECTOR_KIND	DEFAULT_RELATION	LEVEL1_DETECTED	LEVEL2_CATEGORY_CERTAINTY	LEVEL3_SUGGESTED_FUNCTION	LEVEL3_CONFIDENCE	LEVEL4_SUGGESTED_SOURCE	LEVEL4_SUGGESTED_TARGET	LEVEL4_CONFIDENCE	STATUS	NOTES
1corintios	1	1	cn1	09	καὶ	καί	CONJ	certain	coordinating	coordination	yes	high	coordinate/add	high			low	suggested	function follows connector inventory; no finite clause anchor found in verse
1corintios	1	2	cn1	30	καὶ	καί	CONJ	certain	coordinating	coordination	yes	high	coordinate/add	high			low	suggested	function follows connector inventory; no finite clause anchor found in verse
1corintios	1	3	cn1	03	καὶ	καί	CONJ	certain	coordinating	coordination	yes	high	coordinate/add	high			low	suggested	function follows connector inventory; no finite clause anchor found in verse
1corintios	1	3	cn2	09	καὶ	καί	CONJ	certain	coordinating	coordination	yes	high	coordinate/add	high			low	suggested	function follows connector inventory; no finite clause anchor found in verse
1corintios	1	5	cn1	01	ὅτι	ὅτι	CONJ	certain	subordinating	content/cause	yes	high	content-or-cause	medium		C1	low	suggested	context-sensitive function; keep as suggested; target finite clause found; source not available in verse
1corintios	1	5	cn2	10	καὶ	καί	CONJ	certain	coordinating	coordination	yes	high	coordinate/add	high	C1		low	suggested	function follows connector inventory; connector after last finite clause or target outside verse
1corintios	1	6	cn1	01	καθὼς	καθώς	CONJ	certain	subordinating	comparison/manner	yes	high	comparison/manner	medium		C1	low	suggested	context-sensitive function; keep as suggested; target finite clause found; source not available in verse
1corintios	1	7	cn1	01	ὥστε	ὥστε	CONJ	certain	subordinating	result/inference	yes	high	result/inference	medium			low	suggested	context-sensitive function; keep as suggested; no target finite clause found in verse
1corintios	1	7	cn2	03	μὴ	μή	D---------	certain	negation	negation	yes	high	negation	high			none	suggested	function follows connector inventory; negation detected; no clause connection suggested
1corintios	1	8	cn1	02	καὶ	καί	D---------	certain	coordinating	coordination	yes	high	coordinate/add	high		C1	low	suggested	function follows connector inventory; connector before first finite clause or source outside verse
1corintios	1	8	cn2	05	ἕως	ἕως	P---------	certain	subordinating	temporal	yes	high	temporal	high			low	suggested	function follows connector inventory; no target finite clause found in verse
1corintios	1	10	cn1	02	δὲ	δέ	CONJ	certain	coordinating	coordination	yes	high	coordinate/add	high	C1	C2	medium	suggested	function follows connector inventory; coordinating connector between finite clauses
1corintios	1	10	cn2	13	ἵνα	ἵνα	CONJ	certain	subordinating	purpose/result	yes	high	purpose/result	medium	C1	C2	medium	suggested	context-sensitive function; keep as suggested; subordinating connector before/near target finite clause
1corintios	1	10	cn3	18	καὶ	καί	CONJ	certain	coordinating	coordination	yes	high	coordinate/add	high	C2	C3	medium	suggested	function follows connector inventory; coordinating connector between finite clauses
1corintios	1	10	cn4	19	μὴ	μή	D---------	certain	negation	negation	yes	high	negation	high			none	suggested	function follows connector inventory; negation detected; no clause connection suggested
1corintios	1	10	cn5	25	δὲ	δέ	CONJ	certain	coordinating	coordination	yes	high	coordinate/add	high	C4		low	suggested	function follows connector inventory; connector after last finite clause or target outside verse
1corintios	1	10	cn6	31	καὶ	καί	CONJ	certain	coordinating	coordination	yes	high	coordinate/add	high	C4		low	suggested	function follows connector inventory; connector after last finite clause or target outside verse
1corintios	1	11	cn1	02	γάρ	γάρ	CONJ	certain	coordinating	cause/ground	yes	high	ground/explanation	high	C1	C2	medium	suggested	function follows connector inventory; coordinating connector between finite clauses
1corintios	1	11	cn2	11	ὅτι	ὅτι	CONJ	certain	subordinating	content/cause	yes	high	content-or-cause	medium	C1	C2	medium	suggested	context-sensitive function; keep as suggested; subordinating connector before/near target finite clause
1corintios	1	12	cn1	02	δὲ	δέ	CONJ	certain	coordinating	coordination	yes	high	coordinate/add	high	C1	C2	medium	suggested	function follows connector inventory; coordinating connector between finite clauses
1corintios	1	12	cn2	04	ὅτι	ὅτι	D---------	certain	subordinating	content/cause	yes	high	content-or-cause	medium	C1	C2	medium	suggested	context-sensitive function; keep as suggested; subordinating connector before/near target finite clause
1corintios	1	12	cn3	13	δὲ	δέ	CONJ	certain	coordinating	coordination	yes	high	coordinate/add	high	C3		low	suggested	function follows connector inventory; connector after last finite clause or target outside verse
1corintios	1	12	cn4	16	δὲ	δέ	CONJ	certain	coordinating	coordination	yes	high	coordinate/add	high	C3		low	suggested	function follows connector inventory; connector after last finite clause or target outside verse
1corintios	1	12	cn5	19	δὲ	δέ	CONJ	certain	coordinating	coordination	yes	high	coordinate/add	high	C3		low	suggested	function follows connector inventory; connector after last finite clause or target outside verse
1corintios	1	13	cn1	04	μὴ	μή	X---------	certain	negation	negation	yes	high	negation	high			none	suggested	function follows connector inventory; negation detected; no clause connection suggested
1corintios	1	13	cn2	09	ἢ	ἤ	CONJ	certain	coordinating	alternative/comparison	yes	high	alternative/comparison	medium	C2	C3	medium	suggested	context-sensitive function; keep as suggested; coordinating connector between finite clauses
1corintios	1	14	cn1	02	ὅτι	ὅτι	CONJ	certain	subordinating	content/cause	yes	high	content-or-cause	medium	C1	C2	medium	suggested	context-sensitive function; keep as suggested; subordinating connector before/near target finite clause
1corintios	1	14	cn2	06	εἰ	εἰ	CONJ	certain	subordinating	condition	yes	high	condition	high			low	suggested	function follows connector inventory; no target finite clause found in verse
1corintios	1	14	cn3	07	μὴ	μή	D---------	certain	negation	negation	yes	high	negation	high			none	suggested	function follows connector inventory; negation detected; no clause connection suggested
1corintios	1	14	cn4	09	καὶ	καί	CONJ	certain	coordinating	coordination	yes	high	coordinate/add	high	C2		low	suggested	function follows connector inventory; connector after last finite clause or target outside verse
1corintios	1	15	cn1	01	ἵνα	ἵνα	CONJ	certain	subordinating	purpose/result	yes	high	purpose/result	medium		C1	low	suggested	context-sensitive function; keep as suggested; target finite clause found; source not available in verse
1corintios	1	15	cn2	02	μή	μή	D---------	certain	negation	negation	yes	high	negation	high			none	suggested	function follows connector inventory; negation detected; no clause connection suggested
1corintios	1	15	cn3	05	ὅτι	ὅτι	CONJ	certain	subordinating	content/cause	yes	high	content-or-cause	medium	C1	C2	medium	suggested	context-sensitive function; keep as suggested; subordinating connector before/near target finite clause
1corintios	1	16	cn1	02	δὲ	δέ	CONJ	certain	coordinating	coordination	yes	high	coordinate/add	high	C1	C2	medium	suggested	function follows connector inventory; coordinating connector between finite clauses
1corintios	1	16	cn2	03	καὶ	καί	D---------	certain	coordinating	coordination	yes	high	coordinate/add	high	C1	C2	medium	suggested	function follows connector inventory; coordinating connector between finite clauses
1corintios	1	16	cn3	08	οὐκ	οὐ	D---------	certain	negation	negation	yes	high	negation	high			none	suggested	function follows connector inventory; negation detected; no clause connection suggested
1corintios	1	16	cn4	10	εἴ	εἰ	X---------	certain	subordinating	condition	yes	high	condition	high	C2	C3	medium	suggested	function follows connector inventory; subordinating connector before/near target finite clause
1corintios	1	17	cn1	01	οὐ	οὐ	D---------	certain	negation	negation	yes	high	negation	high			none	suggested	function follows connector inventory; negation detected; no clause connection suggested
1corintios	1	17	cn2	02	γὰρ	γάρ	CONJ	certain	coordinating	cause/ground	yes	high	ground/explanation	high		C1	low	suggested	function follows connector inventory; connector before first finite clause or source outside verse
1corintios	1	17	cn3	07	ἀλλὰ	ἀλλά	CONJ	certain	coordinating	contrast	yes	high	contrast	high	C1	C2	medium	suggested	function follows connector inventory; coordinating connector between finite clauses
1corintios	1	17	cn4	09	οὐκ	οὐ	D---------	certain	negation	negation	yes	high	negation	high			none	suggested	function follows connector inventory; negation detected; no clause connection suggested
1corintios	1	17	cn5	13	ἵνα	ἵνα	CONJ	certain	subordinating	purpose/result	yes	high	purpose/result	medium	C1	C2	medium	suggested	context-sensitive function; keep as suggested; subordinating connector before/near target finite clause
1corintios	1	17	cn6	14	μὴ	μή	D---------	certain	negation	negation	yes	high	negation	high			none	suggested	function follows connector inventory; negation detected; no clause connection suggested
1corintios	1	18	cn1	03	γὰρ	γάρ	CONJ	certain	coordinating	cause/ground	yes	high	ground/explanation	high		C1	low	suggested	function follows connector inventory; connector before first finite clause or source outside verse
1corintios	1	18	cn2	13	δὲ	δέ	CONJ	certain	coordinating	coordination	yes	high	coordinate/add	high	C1	C2	medium	suggested	function follows connector inventory; coordinating connector between finite clauses
1corintios	1	19	cn1	02	γάρ	γάρ	CONJ	certain	coordinating	cause/ground	yes	high	ground/explanation	high	C1	C2	medium	suggested	function follows connector inventory; coordinating connector between finite clauses
1corintios	1	19	cn2	08	καὶ	καί	CONJ	certain	coordinating	coordination	yes	high	coordinate/add	high	C2	C3	medium	suggested	function follows connector inventory; coordinating connector between finite clauses
1corintios	1	21	cn1	01	ἐπειδὴ	ἐπειδή	CONJ	certain	subordinating	cause/ground	yes	high	ground/explanation	high		C1	low	suggested	function follows connector inventory; target finite clause found; source not available in verse
1corintios	1	21	cn2	02	γὰρ	γάρ	CONJ	certain	coordinating	cause/ground	yes	high	ground/explanation	high		C1	low	suggested	function follows connector inventory; connector before first finite clause or source outside verse
1corintios	1	21	cn3	08	οὐκ	οὐ	D---------	certain	negation	negation	yes	high	negation	high			none	suggested	function follows connector inventory; negation detected; no clause connection suggested
1corintios	1	22	cn1	01	ἐπειδὴ	ἐπειδή	CONJ	certain	subordinating	cause/ground	yes	high	ground/explanation	high		C1	low	suggested	function follows connector inventory; target finite clause found; source not available in verse
1corintios	1	22	cn2	02	καὶ	καί	CONJ	certain	coordinating	coordination	yes	high	coordinate/add	high		C1	low	suggested	function follows connector inventory; connector before first finite clause or source outside verse
1corintios	1	22	cn3	06	καὶ	καί	CONJ	certain	coordinating	coordination	yes	high	coordinate/add	high	C1	C2	medium	suggested	function follows connector inventory; coordinating connector between finite clauses
1corintios	1	23	cn1	02	δὲ	δέ	CONJ	certain	coordinating	coordination	yes	high	coordinate/add	high		C1	low	suggested	function follows connector inventory; connector before first finite clause or source outside verse
1corintios	1	23	cn2	10	δὲ	δέ	CONJ	certain	coordinating	coordination	yes	high	coordinate/add	high	C1		low	suggested	function follows connector inventory; connector after last finite clause or target outside verse
1corintios	1	24	cn1	02	δὲ	δέ	CONJ	certain	coordinating	coordination	yes	high	coordinate/add	high			low	suggested	function follows connector inventory; no finite clause anchor found in verse
1corintios	1	24	cn2	06	τε	τέ	CONJ	certain	coordinating	coordination	yes	high	coordinate/add	high			low	suggested	function follows connector inventory; no finite clause anchor found in verse
1corintios	1	24	cn3	07	καὶ	καί	CONJ	certain	coordinating	coordination	yes	high	coordinate/add	high			low	suggested	function follows connector inventory; no finite clause anchor found in verse
1corintios	1	24	cn4	12	καὶ	καί	CONJ	certain	coordinating	coordination	yes	high	coordinate/add	high			low	suggested	function follows connector inventory; no finite clause anchor found in verse
1corintios	1	25	cn1	01	ὅτι	ὅτι	CONJ	certain	subordinating	content/cause	yes	high	content-or-cause	medium		C1	low	suggested	context-sensitive function; keep as suggested; target finite clause found; source not available in verse
1corintios	1	25	cn2	10	καὶ	καί	CONJ	certain	coordinating	coordination	yes	high	coordinate/add	high	C1		low	suggested	function follows connector inventory; connector after last finite clause or target outside verse
1corintios	1	26	cn1	02	γὰρ	γάρ	CONJ	certain	coordinating	cause/ground	yes	high	ground/explanation	high	C1		low	suggested	function follows connector inventory; connector after last finite clause or target outside verse
