BOOK	CH	VS	CONNECTOR_ID	CONNECTOR_GREEK	CONNECTOR_KIND	CONNECTOR_RELATION	SOURCE_CLAUSE	TARGET_CLAUSE	OWNERSHIP_TYPE	OWNERSHIP_CONFIDENCE	OWNERSHIP_STATUS	SOURCE_SPAN	TARGET_SPAN	NOTES
1corintios	1	1	cn1	καὶ	coordinating	coordination			coordinate	low	pending			function follows connector inventory; no finite clause anchor found in verse; missing target clause
1corintios	1	2	cn1	καὶ	coordinating	coordination			coordinate	low	pending			function follows connector inventory; no finite clause anchor found in verse; missing target clause
1corintios	1	3	cn1	καὶ	coordinating	coordination			coordinate	low	pending			function follows connector inventory; no finite clause anchor found in verse; missing target clause
1corintios	1	3	cn2	καὶ	coordinating	coordination			coordinate	low	pending			function follows connector inventory; no finite clause anchor found in verse; missing target clause
1corintios	1	5	cn1	ὅτι	subordinating	content/cause		C1	subordinate	low	cross-verse-or-missing-source		ὅτι ἐν παντὶ ==ἐπλουτίσθητε== ἐν αὐτῷ ἐν παντὶ λόγῳ καὶ πάσῃ γνώσει	context-sensitive function; keep as suggested; target finite clause found; source not available in verse; target clause found but source clause unresolved
1corintios	1	5	cn2	καὶ	coordinating	coordination	C1		coordinate	low	pending	ὅτι ἐν παντὶ ==ἐπλουτίσθητε== ἐν αὐτῷ ἐν παντὶ λόγῳ καὶ πάσῃ γνώσει		function follows connector inventory; connector after last finite clause or target outside verse; missing target clause
1corintios	1	6	cn1	καθὼς	subordinating	comparison/manner		C1	subordinate	low	cross-verse-or-missing-source		καθὼς τὸ μαρτύριον τοῦ χριστοῦ ==ἐβεβαιώθη== ἐν ὑμῖν	context-sensitive function; keep as suggested; target finite clause found; source not available in verse; target clause found but source clause unresolved
1corintios	1	7	cn1	ὥστε	subordinating	result/inference			subordinate	low	pending			context-sensitive function; keep as suggested; no target finite clause found in verse; missing target clause
1corintios	1	7	cn2	μὴ	negation	negation			internal-negation	none	pending			function follows connector inventory; negation detected; no clause connection suggested; missing target clause
1corintios	1	8	cn1	καὶ	coordinating	coordination		C1	coordinate	low	cross-verse-or-missing-source		ὃς καὶ ==βεβαιώσει== ὑμᾶς ἕως τέλους ἀνεγκλήτους ἐν τῇ ἡμέρᾳ τοῦ κυρίου ἡμῶν ἰησοῦ χριστοῦ	function follows connector inventory; connector before first finite clause or source outside verse; target clause found but source clause unresolved
1corintios	1	8	cn2	ἕως	subordinating	temporal			subordinate	low	pending			function follows connector inventory; no target finite clause found in verse; missing target clause
1corintios	1	10	cn1	δὲ	coordinating	coordination	C1	C2	coordinate	medium	suggested	==παρακαλῶ== δὲ ὑμᾶς ἀδελφοί διὰ τοῦ ὀνόματος τοῦ κυρίου ἡμῶν ἰησοῦ χριστοῦ ἵνα τὸ αὐτὸ	==λέγητε== πάντες	function follows connector inventory; coordinating connector between finite clauses; source and target clauses available
1corintios	1	10	cn2	ἵνα	subordinating	purpose/result	C1	C2	subordinate	medium	suggested	==παρακαλῶ== δὲ ὑμᾶς ἀδελφοί διὰ τοῦ ὀνόματος τοῦ κυρίου ἡμῶν ἰησοῦ χριστοῦ ἵνα τὸ αὐτὸ	==λέγητε== πάντες	context-sensitive function; keep as suggested; subordinating connector before/near target finite clause; source and target clauses available
1corintios	1	10	cn3	καὶ	coordinating	coordination	C2	C3	coordinate	medium	suggested	==λέγητε== πάντες	καὶ μὴ ==ᾖ== ἐν ὑμῖν σχίσματα	function follows connector inventory; coordinating connector between finite clauses; source and target clauses available
1corintios	1	10	cn4	μὴ	negation	negation			internal-negation	none	pending			function follows connector inventory; negation detected; no clause connection suggested; missing target clause
1corintios	1	10	cn5	δὲ	coordinating	coordination	C4		coordinate	low	pending	==ἦτε== δὲ κατηρτισμένοι ἐν τῷ αὐτῷ νοῒ καὶ ἐν τῇ αὐτῇ γνώμῃ		function follows connector inventory; connector after last finite clause or target outside verse; missing target clause
1corintios	1	10	cn6	καὶ	coordinating	coordination	C4		coordinate	low	pending	==ἦτε== δὲ κατηρτισμένοι ἐν τῷ αὐτῷ νοῒ καὶ ἐν τῇ αὐτῇ γνώμῃ		function follows connector inventory; connector after last finite clause or target outside verse; missing target clause
1corintios	1	11	cn1	γάρ	coordinating	cause/ground	C1	C2	subordinate	medium	suggested	==ἐδηλώθη== γάρ μοι περὶ ὑμῶν ἀδελφοί μου ὑπὸ τῶν Χλόης ὅτι ἔριδες ἐν ὑμῖν	==εἰσιν==	function follows connector inventory; coordinating connector between finite clauses; source and target clauses available
1corintios	1	11	cn2	ὅτι	subordinating	content/cause	C1	C2	subordinate	medium	suggested	==ἐδηλώθη== γάρ μοι περὶ ὑμῶν ἀδελφοί μου ὑπὸ τῶν Χλόης ὅτι ἔριδες ἐν ὑμῖν	==εἰσιν==	context-sensitive function; keep as suggested; subordinating connector before/near target finite clause; source and target clauses available
1corintios	1	12	cn1	δὲ	coordinating	coordination	C1	C2	coordinate	medium	suggested	==λέγω== δὲ τοῦτο ὅτι ἕκαστος ὑμῶν	==λέγει== ἐγὼ μέν	function follows connector inventory; coordinating connector between finite clauses; source and target clauses available
1corintios	1	12	cn2	ὅτι	subordinating	content/cause	C1	C2	subordinate	medium	suggested	==λέγω== δὲ τοῦτο ὅτι ἕκαστος ὑμῶν	==λέγει== ἐγὼ μέν	context-sensitive function; keep as suggested; subordinating connector before/near target finite clause; source and target clauses available
1corintios	1	12	cn3	δὲ	coordinating	coordination	C3		coordinate	low	pending	==εἰμι== παύλου ἐγὼ δὲ ἀπολλῶ ἐγὼ δὲ κηφᾶ ἐγὼ δὲ χριστοῦ		function follows connector inventory; connector after last finite clause or target outside verse; missing target clause
